Source (A),Channel ,affect,posemo,negemo,anx,anger,sad
Shivam Dwivedi,Google Reviews ,8.79,4.4,4.4,0,0,2.2
Kushal Gupta,Google Reviews ,4.26,4.26,0,0,0,0
A Google user,Google Reviews ,7.5,5,2.5,0,0,0
Shikha Agrawal,Google Reviews ,9.43,3.77,5.66,0,0,0
Hima Bindu,Google Reviews ,5.88,4.41,0,0,0,0
Arun Devanathan,Google Reviews ,8.47,1.69,3.39,1.69,0,0
Sumit Kumar,Google Reviews ,2.78,0,2.78,2.78,0,0
Sakshi Goyal,Google Reviews ,7.23,7.23,0,0,0,0
Megha Sarkar,Google Reviews ,14.29,14.29,0,0,0,0
kavya s,Google Reviews ,3.7,3.7,0,0,0,0
Harshil,Google Reviews ,13.33,6.67,6.67,6.67,0,0
Aparna Kannan,Google Reviews ,4.84,1.61,1.61,0,0,0
Amrita Maulik,Google Reviews ,7.14,4.29,2.86,0,0,2.86
Harsha Kumar,Google Reviews ,4.44,0,4.44,0,0,2.22
Aman Sharma,Google Reviews ,9.52,9.52,0,0,0,0
Karthik Chandra,Google Reviews ,8.86,3.8,5.06,1.27,1.27,2.53
Niti Shankar Srivastava,Google Reviews ,8.33,8.33,0,0,0,0
seshu giri,Google Reviews ,5.17,1.72,3.45,1.72,0,0
Sriraksha Krishnamurthy,Google Reviews ,4.55,4.55,0,0,0,0
santanu singha,Google Reviews ,10.71,10.71,0,0,0,0
Priyank Dwivedi,Google Reviews ,6.06,6.06,0,0,0,0
Anil SAnklecha,Google Reviews ,16.67,16.67,0,0,0,0
Debjani AIIMS,Google Reviews ,6.06,0,3.03,0,0,0
Pankaj Lal,Google Reviews ,14.29,9.52,0,0,0,0
Sriram Raja,Google Reviews ,5.88,5.88,0,0,0,0
Chintan Sarda,Google Reviews ,7.14,0,7.14,0,0,0
Krishnendu Chakraborty,Google Reviews ,6.85,6.85,0,0,0,0
prakruthi ramesh,Google Reviews ,11.11,5.56,2.78,0,0,2.78
Shane Jacob,Google Reviews ,3.85,3.85,0,0,0,0
Chitrasen Biswal,Google Reviews ,8.7,4.35,4.35,0,0,0
Anuj Rajani,Google Reviews ,4.05,4.05,0,0,0,0
Navdha Bhardwaj,Google Reviews ,7.87,4.49,3.37,0,0,1.12
Jaya Bharati,Google Reviews ,8.51,8.51,0,0,0,0
Deepika J Molleti,Google Reviews ,11.39,10.13,1.27,1.27,0,0
Gayatri Banerjee,Google Reviews ,11.11,11.11,0,0,0,0
Arvindhan L,Google Reviews ,2.99,1.49,1.49,0,0,1.49
Dr. Santoshkumar Ambulge,Google Reviews ,3.17,1.59,1.59,0,0,1.59
KeshavGovind Mittal,Google Reviews ,7.14,7.14,0,0,0,0
Suresh Chintalapudi,Google Reviews ,11.84,6.58,5.26,0,1.32,1.32
Rahul Shanbhag,Google Reviews ,4.48,2.99,1.49,0,1.49,0
NADIMPALLI KRISHNAMOHAN,Google Reviews ,0,0,0,0,0,0
Taniya Khan,Google Reviews ,6.52,6.52,0,0,0,0
rachana singh,Google Reviews ,21.05,21.05,0,0,0,0
Ri ya,Google Reviews ,5.56,2.78,2.78,0,0,0
Tejesh P,Google Reviews ,9.09,9.09,0,0,0,0
Sage Savage,Google Reviews ,17.86,7.14,10.71,0,0,0
DIPEN ASHWANI,Google Reviews ,7.5,7.5,0,0,0,0
Diksha Choudhry,Google Reviews ,0,0,0,0,0,0
AKANKSHA VIJAY,Google Reviews ,8,8,0,0,0,0
keya chakrabarti,Google Reviews ,4.35,4.35,0,0,0,0
Roslin Ahmed,Google Reviews ,9.09,4.55,4.55,4.55,0,0
Mayand Maskay,Google Reviews ,4.35,4.35,0,0,0,0
nidhi gajjar,Google Reviews ,15.38,15.38,0,0,0,0
Shelly Jindal,Google Reviews ,5.56,0,5.56,0,0,5.56
Kirti Dagar,Google Reviews ,33.33,33.33,0,0,0,0
OMKAR HEGDE,Google Reviews ,4.35,4.35,0,0,0,0
Anju Bhardwaj,Google Reviews ,4.76,4.76,0,0,0,0
parag utekar,Google Reviews ,11.11,5.56,5.56,0,0,0
Kushal Rao,Google Reviews ,6.9,3.45,3.45,0,0,0
Shruti Sangwan,Google Reviews ,5.56,5.56,0,0,0,0
Rajat Gupta,Google Reviews ,10,10,0,0,0,0
Snowill Sequeira,Google Reviews ,12.5,12.5,0,0,0,0
versha chaudhary,Google Reviews ,7.14,7.14,0,0,0,0
syed moin,Google Reviews ,11.11,7.41,3.7,0,0,0
Tushar Saha,Google Reviews ,0,0,0,0,0,0
Mohammed Raiyan K A,Google Reviews ,6.67,6.67,0,0,0,0
Tara Nayar,Google Reviews ,8.33,8.33,0,0,0,0
Lavanya Ravichandran,Google Reviews ,0,0,0,0,0,0
Bandaru Pranay,Google Reviews ,6.67,6.67,0,0,0,0
Rohan Rajpal,Google Reviews ,11.76,11.76,0,0,0,0
Sushant Gupta,Google Reviews ,9.52,9.52,0,0,0,0
